Trait Type	Trait Character Types Eligibility	Cultures Excluded for the Trait	Irreversible Level (Level No.)	Hidden Trait or Description?	Anti-Traits	Trait Level	Level Name	In-game Level Name	In-game Level Description	Level Threshold	Level Effects	Level Effects Description	Message When This Level is Gained	Message When This Level is Lost	Character Name Epithet
Berserker	-	-	-	no	-	3	Berserker	Berserker	This man is known throughout the land as an unstoppable tide of terror on the battlefield. All fear to stand before him. Even his own troops fear him once that unmistakable lust for blood has entered his eyes.	3	Chivalry -3, Command -1, TroopMorale 1, Attack 3, Defence -3, Charm -3, PersonalSecurity 2, HitPoints 2	Chivalry -3, Command -1, TroopMorale  +1, Attack  +3, Defence -3, Charm -3, PersonalSecurity  +2, HitPoints  +2	-	-	-
PublicAtheism	family	-	-	no	PublicFaith	0	-	-	-	-	-	-	-	-	-
PublicAtheism	-	-	-	no	-	1	Religiously_Improper	Religiously Improper	This man no longer cares to attend to his religeous duties. Still, no one seems to have noticed- yet.	1	Piety -1 	Piety -1 	-	-	-
PublicAtheism	-	-	-	no	-	2	Athiest	Athiest	This man no longer has the faith, and no longer cares if people know it. It doesn't make him particularly popular with right-minded people.	2	Piety -2, LocalPopularity -1, PersonalSecurity -1	Piety -2, LocalPopularity -1, PersonalSecurity -1	-	-	-
PublicAtheism	-	-	-	no	-	3	Despises_Religion	Despises Religion	This man is publicly outspoken in his contempt of religeous practice. His very presence upsets many, and he has ruined more than one communal meal with his fierce tirades. People are starting to consider him a public nuisance, detrimental to the good of decent society. It might be a good idea if he leaves populated places for a while- at least until he comes to his senses.	3	Piety -4, LocalPopularity -2, PersonalSecurity -2, Authority -1, TroopMorale -1	Piety -4, LocalPopularity -2, PersonalSecurity -2, Authority -1, TroopMorale -1	-	-	-
PublicFaith	family	-	-	no	PublicAtheism	0	-	-	-	-	-	-	-	-	-
PublicFaith	-	-	-	no	-	1	Religiously_Proper	Religiously Proper	This man puts what some would consider a little too much empahsis on correct religeous practice. Still, it doesn't exactly get in the way of any other duties- yet.	1	Piety 1 	Piety +1 	-	-	-
PublicFaith	-	-	-	no	-	2	Religiously_Devout	Devout	This man has most certainly 'got religion'. Some would say that it is starting to take a bit too much of a hold of him. Then again, powerful faith is a powerful tool.	2	Piety +2, LocalPopularity +1, Command -1	Piety -2, LocalPopularity -1, PersonalSecurity -1	-	-	-
PublicFaith	-	-	-	no	-	3	Overly_Zealous	Overly Zealous	This man is publicly outspoken in his devotation to religeous practice. He seems to go on about it endlessly, and he has ruined more than one communal meal with his endless sermons. People are starting to become concerned with his zealous insistances, wondering whether his ideas about social improvement are not a little worrying. It might be a good idea if he leaves populated places for a while- perhaps he'd be happier as a monk.	3	Piety 4, LocalPopularity -1, Command -2, Authority -1, TroopMorale -1	Piety -4, LocalPopularity -2, PersonalSecurity -2, Authority -1, TroopMorale -1	-	-	-
LawMaster	family	-	-	no	Robberbaron	0	-	-	-	-	-	-	-	-	-
LawMaster	-	-	-	no	-	1	DefenderOfLaw	Defender Of the Law	This man is a defender of the law of the land, he firmly believes in the necessity of enforcing and maintaining the law.	1	Law 1	Law +1	-	-	-
LawMaster	-	-	-	no	-	2	LawMaster	Law Master	This man holds the law of the land before all else. No one is beyond the sacred word of the kings law. People are starting to resent his complete unreasonability.	2	Law 2, LocalPopularity -1	Law +2, LocalPopularity -1	-	-	-
LawMaster	-	-	-	no	-	3	Fascist	Dread Judge	This man is as feared as the day of judgement. No one is beyond the reach of his retribution. Many see his crusade of justice as a reign of terror.	3	Law 3, LocalPopularity -2	Law +3, LocalPopularity -2	-	-	-
Robberbaron	family	-	-	no	LawMaster	0	-	-	-	-	-	-	-	-	-
Robberbaron	-	-	-	no	-	1	IndifferentLaw	Indifferent to the Law	This man doesn't pay much attention to the upholding of the law, he has other priorities.	1	Law -1	Law -1	-	-	-
Robberbaron	-	-	-	no	-	2	Anarchist	Unlawful	This man cares little for the sacred law of the land. He believes that man should be left to make his own law. To him, upholding the law is a futile fight in the face of the cruelty of the real world. It's a bit of a waste of time in his eyes.	2	Law -2, LocalPopularity -1, Piety -1, Squalor 1	Law -2, LocalPopularity -1, Piety -1, Squalor +1	-	-	-
Robberbaron	-	-	-	no	-	3	MafiaLord	Robber Baron	This man makes no attempt to support the law in his lands. It is chaos on the streets. No one is safe. Some even say he is actively encouraging unlawful behaviour for his own devilish ends.	3	Law -4, LocalPopularity -2, Piety -2, Squalor 2, Trading -2, TaxCollection 1, PersonalSecurity 2, Looting 5	Law -4, LocalPopularity -2, Piety -2, Squalor +2, Trading -2, TaxCollection +1, PersonalSecurity +2, Looting +5	-	-	-
Builder	family	-	-	no	NotBuilder	0	-	-	-	-	-	-	-	-	-
Builder	-	-	-	no	-	1	Architect	Architect	This man maintains a solid interest in the building works going on in his lands.	1	Construction 1	Construction +1	-	-	-
Builder	-	-	-	no	-	2	Engineer	Engineer	This man is respected as prominant person in the field of architecture and engineering. This shows in the buildings of his lands.	2	Construction 2, Squalor -1	Construction +2, Squalor -1	-	-	-
Builder	-	-	-	no	-	3	MasterBuilder	Master Builder	This man is an architect of some genius. People flock from all over to see the beauty and innovation of his cities. Perhaps other aspects of rulership are beginning to suffer, but who can care in the sight of such splendor.	3	Construction 3, Squalor -2, LocalPopularity 1, Trading -1, TaxCollection -1	Construction +3, Squalor -2, LocalPopularity +1, Trading -1, TaxCollection -1	-	-	-
NotBuilder	family	-	-	no	Builder	0	-	-	-	-	-	-	-	-	-
NotBuilder	-	-	-	no	-	1	IndifferentBuilder	Indifferent Builder	This man doesn't really care much for construction.	1	Construction -1	Construction -1	-	-	-
NotBuilder	-	-	-	no	-	2	AgainstBuilding	Against Architecture	This man dislikes fancy buildings, and to be honest it's starting to show. The place just looks a bit shabby really.	2	Construction -2, Squalor 1	Construction -2, Squalor +1	-	-	-
NotBuilder	-	-	-	no	-	3	HatesArchitecture	Hates Architecture	This man actively dislikes architecture. There are much more important things when it comes to running a city, and he goes out of his way to prove it. But someone should probably speak to him, the whole place looks as though it could topple over with the next strong breeze.	3	Construction -3, Squalor 2, LocalPopularity -1, Trading +1, TaxCollection +1	Construction -3, Squalor +2, LocalPopularity -1, Trading +1, TaxCollection +1	-	-	-
BitCountry	family	-	-	no	HatesFarming	0	-	-	-	-	-	-	-	-	-
BitCountry	-	-	-	no	-	1	BornOfTheLand	Born Of The Earth	This man maintains a solid interest in horticulture and the countryside in general. The city is built off of the land is it not?.	1	Farming 1	Farming +1	-	-	-
BitCountry	-	-	-	no	-	2	Farmer	Blood of the Soil	This man is respected as prominant person in the field of husbandry and horticulture. It is clear in the attention he pays to it.	2	Farming 2, Health 1	Farming +2, Health +1	-	-	-
BitCountry	-	-	-	no	-	3	ALittleBitCountry	A Little Bit Country	This man loves the country. His only longing is to live his idealised life as a simply peasant.  He thoroughly hates the city, and spends as little time there as possible. This is clearly reflected in his managing of it.	3	Farming 3, Health 2, Construction -1, Trading -1, TaxCollection -1	Farming +3, Health +2, Construction -1, Trading -1, TaxCollection -1	-	-	-
HatesFarming	family	-	-	no	BitCountry	0	-	-	-	-	-	-	-	-	-
HatesFarming	-	-	-	no	-	1	PrefersCity	Prefers the City	This man doesn't really like the countryside. He'd rather not have to spend much time on it.	1	Farming -1	Farming -1	-	-	-
HatesFarming	-	-	-	no	-	2	Urban	Against Architecture	This man is a city man true and true. Theres nothing like the urban like to get the senses going. He hates having to go into the countryside. Theres nothing there worth considering anyway, he may as well just ignore it.	2	Farming -2, Health -1, Construction 1	Farming -2, Health -1, Construction +1	-	-	-
HatesFarming	-	-	-	no	-	3	PeasantsSink	Hates the Countryside	This man really doesn't like the countryside. Or any of the people who live there. Apperently they all smell funny.	3	Farming -3, Health -2, Construction 2, Trading 1, TaxCollection 1	Farming -3, Health -2, Construction +2, Trading +1, TaxCollection +1	-	-	-
Miner	family	-	-	no	MinerNeg	0	-	-	-	-	-	-	-	-	-
Miner	-	-	-	no	-	1	LikesMining	Likes Mining	This man is a firm believer in the importance of the mines within his territory.	1	Mining 1	Mining +1	-	-	-
Miner	-	-	-	no	-	2	GreatEngineer	Great Engineer	This man takes a keen interest in the goings on of the mines within his territory, and even takes a strong interest in the finer points of their workings.	2	Mining 2	Mining +2	-	-	-
MinerNeg	family	-	-	no	Miner	0	-	-	-	-	-	-	-	-	-
MinerNeg	-	-	-	no	-	1	DislikesMining	Dislikes Mining	This man doesn't like mines. There's something unnatural about those dirty great pits. He'd rather not have to concern himself with them, pretend they weren't there.	1	Mining -1	Mining -1	-	-	-
MinerNeg	-	-	-	no	-	2	DoesntUnderstantMining	Doesn't Understant Mining	This man doesn't try to hide the fact that he just plain doesn't understand the point of mines. They're horrible places. Can't we do without them? Now farming, that's a noble pastime. Let's focus on that instead.	2	Mining -2, Farming 1	Mining -2, Farming +1	-	-	-
SqualorPos	family	-	-	no	SqualorNeg	0	-	-	-	-	-	-	-	-	-
SqualorPos	-	-	-	no	-	1	Cleaner	Wants to Clean Up the Streets	This man thinks the city is becoming horribly dirty and cramped. It's not a pleasant sight for him when he gazes out his window every morning. Someone should do something about it.	1	Squalor -1	Squalor -1	-	-	-
SqualorPos	-	-	-	no	-	2	Batman	City Caretaker	This man has got it into his to set about activily reorganising the city streets. Something must be done to sort out the squalor. It's ruining his afternoon walks.	2	Squalor -2, Construction 1	Squalor -2, Construction +1	-	-	-
SqualorNeg	family	-	-	no	SqualorPos	0	-	-	-	-	-	-	-	-	-
SqualorNeg	-	-	-	no	-	1	SqualorNeg	No Interest In The Streets	This man thinks that the city has bigger problems to worry about than a bit of dirt on the streets. If people didn't spend so much time idling walking the streets then it wouldn't be a problem.	1	Squalor 1, TaxCollection 1	Squalor +1, TaxCollection +1	-	-	-
SqualorNeg	-	-	-	no	-	2	SqualorNeg	High Up In His Tower	This man really doesn't give a damn about the terrible condition of his city streets. It would take a city planner of genuine genius to tidy it up now anyway. He just tries not to look out the window too much.	2	Squalor 2, TaxCollection 1	Squalor +2, TaxCollection +1	-	-	-
TradePos	family	-	-	no	TradeNeg	0	-	-	-	-	-	-	-	-	-
TradePos	-	-	-	no	-	1	TradePos1	Merchantile Leanings	This man likes the idea of trade. He liked swapping things when he was young, and now his favourate place to spend his spare time is the city market. There's just something about the atmosphere.	1	Trading 1	Trading +1	-	-	-
TradePos	-	-	-	no	-	2	TradePos2	Economist	This man has considers trade to be a serious business, essential, if not vital, to the prosperity of his city. He takes a keen interest in astute innovations. He has even begun keeping a closer eye on his family's own business interests, purely as sideline of course.	2	Trading 2, Law -1	Trading +2, Law -1	-	-	-
TradeNeg	family	-	-	no	TradePos	0	-	-	-	-	-	-	-	-	-
TradeNeg	-	-	-	no	-	1	TradeNeg1	No Interest In Trade	This man thinks that the city has bigger problems to worry about than maintaining merchantile contacts with the outside world. They have everything they need in their own country.	1	Trading -1, Farming 1	Trading -1, Farming +1	-	-	-
TradeNeg	-	-	-	no	-	2	TradeNeg2	Hates Merchants	This man really doesn't give a damn about the trade status of his city. It is all about nothing but frivolous luxuries anyway. And the merchant class are an aweful, indecent bunch of people. They only bring the city down.	2	Trading -2, Law +1	Trading -2, Law +1	-	-	-
															
LoyaltyPos	family	-	-	no	LoyaltyNeg	0	-	-	-	-	-	-	-	-	-
LoyaltyPos	-	-	-	no	-	1	LoyaltyPos1	Naturaly Loyal	This man has always thought highly of fidelity to his superiors. He does his best to put loyalty first, and, most of the time, succeeds in doing so.	1	Trading 1	Trading +1	-	-	-
LoyaltyPos	-	-	-	no	-	2	LoyaltyPos2	Naturaly Loyal	This man has, seemingly from birth, considered loyalty to his masters to be the highest duty of man. It is an opinion that he does his upmost to live by.	2	Trading 2, Law -1	Trading +2, Law -1	-	-	-
LoyaltyNeg	family	-	-	no	LoyaltyPos	0	-	-	-	-	-	-	-	-	-
LoyaltyNeg	-	-	-	no	-	1	LoyaltyNeg1	Naturaly Independant	This man thinks that the city has bigger problems to worry about than maintaining merchantile contacts with the outside world. They have everything they need in their own country.	1	Trading -1, Farming 1	Trading -1, Farming +1	-	-	-
LoyaltyNeg	-	-	-	no	-	2	LoyaltyNeg2	Naturaly Independant	This man really doesn't give a damn about the trade status of his city. It is all about nothing but frivolous luxuries anyway. And the merchant class are an aweful, indecent bunch of people. They only bring the city down.	2	Trading -2, Law +1	Trading -2, Law +1	-	-	-
