Building	Capability	Capability Requirements
laskar_al_dawla	recruit_pool "almoravid_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "andalucian_berber_warriors"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "berber_skirmishers"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "moorish_pikemen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "sanhaja_nobles"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "sanhaja_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "moorish_heavy_crossbowmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "caspian_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "caspian_infantry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "khwarezmian_cavalry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "persian_noble_cav"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "persian_peasants"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "persian_pikemen"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "persian_police"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "persian_vigilantes"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "sunni_light_cav"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "timurid_infantry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "timurid_levies"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "turcoman_horse_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "turkic_horse_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "turkic_retainers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "zoroastrian_missile_cav"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "naptha_throwers"  1   0.3   2  0	factions { seljuks, syria, egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "ayyubid_heavy_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "ayyubid_light_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "bedouin_militia_cav"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "caspian_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "caspian_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "kurdish_longbowmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "kurdish_spearmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "mamluks"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "non_mamluk_cavalry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "sunni_light_cav"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "syrian_foot_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "syrian_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "syrian_militia_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "syrian_militia_spearmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "syrian_peasants"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "syrian_skirmishers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "turkish_spearmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "ghazi_raiders"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "ghulam_heavy_horse_archers"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "ghulam_light_horse_archers"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "kurdish_longbowmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "kurdish_spearmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_dawla	recruit_pool "sunni_light_cav"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "bedouin_militia_cav"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "ayyubid_heavy_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "ayyubid_light_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "egyptian_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "egyptian_macemen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "egyptian_medium_horse_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "egyptian_pikemen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "kurdish_longbowmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "kurdish_spearmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "mamluk_horse_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "mamluk_light_horse_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "mamluks"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "non_mamluk_cavalry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "nubian_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "nubian_light_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "nubian_noble_cav"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "nubian_spearmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "sudani_heavy_spearmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	free_upkeep bonus 2	factions { egypt, moors, seljuks, syria, turks,  slave, }
laskar_al_saltana	recruit_pool "war_ballista"  1   0.3   2  0	factions { egypt, moors, syria, slave, }
laskar_al_saltana	law_bonus bonus 6	factions { egypt, moors, seljuks, syria, turks,  slave, }
laskar_al_saltana	population_growth_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
laskar_al_saltana	population_health_bonus bonus -3	factions { egypt, moors, seljuks, syria, turks,  slave, }
laskar_al_saltana	recruit_pool "nomad_turkish_cav"  1   0.3   2  0	factions { egypt, syria, seljuks, turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "almohad_archers"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "almohad_black_guard"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "almohad_noble_sons"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "almohad_slave_infantry"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "almohad_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "almoravid_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "andalucian_berber_warriors"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "berber_skirmishers"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "moorish_pikemen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "sanhaja_nobles"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "moorish_heavy_crossbowmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "sanhaja_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "caspian_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "caspian_infantry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "khwarezmian_cavalry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "persian_noble_cav"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "persian_peasants"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "persian_pikemen"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "persian_police"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "persian_vigilantes"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "sultan_palace_guard"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "sunni_light_cav"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "timurid_infantry"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "timurid_levies"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "turcoman_horse_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "turkic_horse_archers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "turkic_retainers"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "zoroastrian_knights"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "zoroastrian_missile_cav"  1   0.3   2  0	factions { seljuks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "naptha_throwers"  1   0.3   2  0	factions { seljuks, syria, egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "ayyubid_heavy_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "ayyubid_light_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "bedouin_militia_cav"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "caspian_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "caspian_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "kurdish_longbowmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "kurdish_spearmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "mamluk_horse_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "mamluk_light_horse_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "mamluks"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "non_mamluk_cavalry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "sultan_palace_guard"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "sunni_light_cav"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "syrian_foot_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "syrian_infantry"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "syrian_militia_archers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "syrian_militia_spearmen"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "syrian_peasants"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "syrian_skirmishers"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "war_ballista"  1   0.3   2  0	factions { syria, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "turkish_spearmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "ghazi_raiders"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "ghulam_heavy_horse_archers"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "ghulam_light_horse_archers"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "kurdish_longbowmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "kurdish_spearmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "sultan_palace_guard"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_saltana	recruit_pool "sunni_light_cav"  1   0.3   2  0	factions { turks, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "bedouin_militia_cav"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "egyptian_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "ayyubid_heavy_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "ayyubid_light_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "egyptian_macemen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "egyptian_medium_horse_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "egyptian_pikemen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "kurdish_longbowmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "kurdish_spearmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "mamluk_elite_cav"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "mamluk_guard_cav"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "mamluk_horse_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "mamluk_light_horse_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "mamluks"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "muslim_general_retinue"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "muslim_heavy_crossbowmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "non_mamluk_cavalry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "nubian_archers"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "nubian_light_infantry"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "nubian_noble_cav"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "nubian_spearmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "sudani_heavy_spearmen"  1   0.3   2  0	factions { egypt, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "war_ballista"  1   0.3   2  0	factions { egypt, moors, syria, slave, }
laskar_al_soltan	free_upkeep bonus 3	factions { egypt, moors, seljuks, syria, turks,  slave, }
laskar_al_soltan	law_bonus bonus 6	factions { egypt, moors, seljuks, syria, turks,  slave, }
laskar_al_soltan	population_growth_bonus bonus 1	factions { egypt, moors, seljuks, syria, turks,  slave, }
laskar_al_soltan	population_health_bonus bonus -3	factions { egypt, moors, seljuks, syria, turks,  slave, }
laskar_al_soltan	recruit_pool "nomad_turkish_cav"  1   0.3   2  0	factions { egypt, syria, seljuks, turks, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "almohad_archers"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "almohad_black_guard"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "almohad_noble_sons"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "almohad_slave_infantry"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "almohad_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "almoravid_spearmen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "andalucian_berber_warriors"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "bedouin_cavalry"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "berber_skirmishers"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "moorish_black_guards"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "moorish_pikemen"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "muslim_conscripts"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
laskar_al_soltan	recruit_pool "muslim_general_companions"  1   0.3   2  0	factions { moors, slave, } and event_counter is_player_autonomy 0
