Shared		Tooltips		Strat		Quotes		Export_Buildings		Expanded	
ST_BALLISTA	Ballista	TMT_CANNOT_JOIN_CRUSADE_NOT_CALLED	There is no Crusade in progress to join	SMT_BATTLES_LOST	Battles Lost:	It is nought good a sleeping hound wake	Chaucer, Troilus and Criseyde 				
ST_BALLISTAS	Ballistae	TMT_CANNOT_JOIN_CRUSADE_CHARACTER_EXCOMMUNICATED	Excommunicated character cannot join the Crusade	SMT_GREATEST_GENERAL	Greatest general:	Of harmes two the less is for to chose	Chaucer, Troilus and Criseyde 				
ST_MUTE_SOUND	Mute Sound	TMT_CANNOT_JOIN_CRUSADE_TOO_LATE	It's too late to join the Crusade	SMT_GENERALS	Generals:	Drawn, hung, and beheaded, it took thirty blows of the sword to sever his head	John of Malvern describing the execution of Thomas Usk, author of 'Testament of Love'				
ST_GFX_VEGETATION	Vegetation/Grass	TMT_CANNOT_JOIN_CRUSADE_CHARACTER_IN_RESIDENCE	Cannot join the Crusade whilst in a settlement or fort	SMT_CITIES	Cities:	I offer my soul to al-Mustansir billah for redemption, who wins victories with the help of the hosts of heaven.	al-Muayyad ash-Shirazi's elegy at the death of Al-Mustansir, longest reigning Caliph in Muslim history, 1095				
ST_GFX_DESYNC_MEN	Desynchronise animations	TMT_CANNOT_JOIN_CRUSADE_CHARACTER_ON_FLEET	Cannot join the Crusade whilst at sea	SMT_CASTLES	Castles:	I confess that you are the countenance of God by which the servants' countenances are radiant.	al-Muayyad ash-Shirazi's elegy at the death of Al-Mustansir, longest reigning Caliph in Muslim history, 1095				
ST_SOUND_PROVIDER	Sound Provider	TMT_CANNOT_JOIN_CRUSADE_CHARACTER_NOT_ARMY_COMMANDER	Only the army commander may join the Crusade	SMT_YEAR	Year:	It is by him only that the Koran can be explained and interpreted.	al-Muayyad ash-Shirazi's elegy at the death of Al-Mustansir, longest reigning Caliph in Muslim history, 1095				
ST_JANUARY	January	TMT_CANNOT_JOIN_CRUSADE_INSUFFICIENT_UNITS	This character has too few units to join the crusade	SMT_TURN_NUMBER	Turn number:	Doshvar shavad bange to az khaneh be dehliz, Va asan shavad avaze vey az Balkh be Bulgar- Your voice hardly reaches the corridor from the room, But his words easily reach from Balkh to Bulgar	Nasir Khosrow Qubadyani, Persian poet 11th century				
ST_FEBRUARY	February	TMT_ABANDON_CRUSADE	Abandon Crusade	SMT_TURNS_REMAINING	Turns remaining:	In Ma`arra our troops boiled pagan adults in cooking-pots; they impaled children on spits and devoured them grilled.	Radulph of Caen, chronicler and eye-witness of the First Crusade				
ST_MARCH	March	TMT_JOIN_JIHAD	Join the Jihad	SMT_LEVEL	Level	I shudder to tell that many of our people, harassed by the madness of excessive hunger, cut pieces from the bodies of the Saracens already dead there, which they cooked, but when it was not yet roasted enough by the fire, they devoured it with savage mouth.	Fulcher of Chartres, chronicler and eye-witness of the First Crusade				
ST_APRIL	April	TMT_CANNOT_JOIN_JIHAD_NOT_CALLED	There is no Jihad in progress to join	SMT_SHOW_FAMILY_TREE	Show family tree	Oturğanım oba yer basqanım baqır canaq. Ol zengi. "Where I sit is a hilly place. Where I tread is a copper bowl: The stirrup."	Cuman riddle from Codex Cumanicus				
ST_MAY	May	TMT_CANNOT_JOIN_JIHAD_TOO_LATE	It's too late to join the Jihad	SMT_SHOW_EVENT_LOG	Show events log	Take the advice of Muslims, sleep in the houses of Christians, sup with the Jews	Baghdad proverb, according to Ibn al-Majawir				
ST_JUNE	June	TMT_CANNOT_JOIN_JIHAD_CHARACTER_IN_RESIDENCE	Cannot join the Jihad whilst in a settlement or fort	SMT_FINANCIAL_SUMMARY	Financial Overview	Muslims love sex, Jews love food and Christians love only greed	Baghdad proverb, according to Ibn al-Majawir				
ST_JULY	July	TMT_CANNOT_JOIN_JIHAD_CHARACTER_ON_FLEET	Cannot join the Jihad whilst at sea	SMT_INCOME	Income	There should be no law within the realm save the law of Winchester.	Main demand of the Peasants' Revolt or Great Rising of 1381, calling for a return to a perceived time of equality between the classes in pre-Norman Anglo-Saxon rule when Winchester was the capital, 300 years prior.				
ST_AUGUST	August	TMT_CANNOT_JOIN_JIHAD_CHARACTER_NOT_ARMY_COMMANDER	Only the commanding general may join the Jihad	SMT_EXPENDITURE	Expenditure	In due course, their might strengthened, their dignity and power augmented, tokens of victory emerged on the pages of the annals of their deeds due to God's grace.	Ar-Rawandi on the Selkuks, late 12th century				
ST_SEPTEMBER	September	TMT_CANNOT_JOIN_JIHAD_INSUFFICIENT_UNITS	This character has too few units to join the Jihad	SMT_FARMING	Farming	The almighty in every epoch chooses a man, glorifies him and decorates him with the merits of the ruler. He connects the prosperity of the universe and the tranquility of slaves to this man.	Nizam al-Mulk, Seljuq vizier 1063-1092				
ST_OCTOBER	October	TMT_ABANDON_JIHAD	Abandon Jihad	SMT_RESOURCES	Resources						
ST_NOVEMBER	November	TMT_CRUSADE_CANNOT_ATTACK_CATHOLIC	A Crusading army cannot attack a Catholic faction	SMT_TRADE	Trade						
ST_DECEMBER	December	TMT_JIHAD_CANNOT_ATTACK_MUSLIM	An army on a Jihad cannot attack an Islamic faction	SMT_MERCHANT_TRADE	Merchant Trade						
ST_MONDAY	Monday	TMT_CALL_CRUSADE	Request the Pope to commission a Crusade	SMT_TAXES	Taxes						
ST_TUESDAY	Tuesday	TMT_CALL_CRUSADE_IN_PROGRESS	Crusade already in progress	SMT_WAGES	Wages						
ST_WEDNESDAY	Wednesday	TMT_CALL_CRUSADE_NOT_ENOUGH_PAPAL_FAVOUR	Not enough Papal favour points to request a Crusade	SMT_PROJECTED_INCOME	Projected Total Income						
ST_THURSDAY	Thursday	TMT_CALL_CRUSADE_TOO_SOON	Too soon since last Crusade to request another	SMT_PROJECTED_EXPENDITURE	Projected Total Expenditure						
ST_FRIDAY	Friday	TMT_CALL_CRUSADE_OK_NOT_SELECTED	Select a Crusade target from the list first	SMT_PROJECTED_PROFIT	Projected Profits						
ST_SATURDAY	Saturday	TMT_CALL_CRUSADE_OK_NO_TARGETS	No valid Crusade targets available	SMT_TOTAL_INCOME	Total Income						
ST_SUNDAY	Sunday	TMT_CALL_CRUSADE_OK	Request a Crusade to the selected target	SMT_TOTAL_EXPENDITURE	Total Expenditure						
ST_AM_UPPER	AM	TMT_CALL_CRUSADE_CANCEL	Close this scroll without requesting a Crusade	SMT_TOTAL_PROFIT	Profits						
ST_AM_LOWER	am	TMT_CALL_JIHAD	Declare a Jihad	SMT_EOT_FINANCIAL_SUMMARY	Financial Summary						
ST_PM_UPPER	PM	TMT_CALL_JIHAD_IN_PROGRESS	Jihad already in progress	SMT_EOT_MILITARY_SUMMARY	Military Summary						
ST_PM_LOWER	pm	TMT_CALL_JIHAD_NOT_ENOUGH_RELIGION	This Imam lacks the Piety required to call a Jihad	SMT_EOT_BALANCE_OF_POWER	Balance of Power						
ST_FILE_SAVE_RESULT_FAIL	Unspecified write error	TMT_CALL_JIHAD_TOO_SOON	Too soon since last Jihad to call another	SMT_EOT_BATTLES_FOUGHT	Battles Fought						
ST_FILE_SAVE_RESULT_FAIL_NO_CREATE	Couldn't create save file on disk	TMT_CALL_JIHAD_OK_NOT_SELECTED	Select a Jihad target from the list first	SMT_EOT_BATTLES_WON	Battles Won						
ST_FILE_SAVE_RESULT_FAIL_NO_HEADER	Couldn't create save game header	TMT_CALL_JIHAD_OK_NO_TARGETS	No valid Jihad targets available	SMT_EOT_TROOPS_RECRUITED	Troops Recruited						
ST_FILE_SAVE_RESULT_FAIL_NO_SPACE	Hard drive full	TMT_CALL_JIHAD_OK	Call a Jihad against the selected target	SMT_EOT_TROOPS_LOST	Troops Lost						
UA_CANT_HIDE	Can't hide	TMT_CALL_JIHAD_CANCEL	Close this scroll without starting a Jihad	SMT_EOT_REGIONS_CAPTURED	Regions Captured						
UA_HIDE_LONG_GRASS	Can hide in long grass	TMT_VOTE	Vote for this faction	SMT_EOT_REGIONS_LOST	Regions Lost						
UA_EXPERT_HIDING_IN_WOODS	Expert at hiding in woods	TMT_INITIATE_DIPLOMACY	Initiate diplomatic negotiations with this faction	SMT_EOT_YOUR_RATING	Your Rating						
UA_HIDE_ANYWHERE	Can hide anywhere	TMT_RESTRICTED_AREA	Restricted area 	SMT_EOT_CURRENT_LEADER	Current Leader						
UA_TESTUDO	Can form testudo	TMT_AVAILABLE_SUITORS	Potential suitors are in this army	SMT_EOT_MILITARY	Military:						
UA_PHALANX	Can form spear wall	TMT_NO_AVAILABLE_SUITORS	No potential suitors in this army	SMT_EOT_FINANCIAL	Financial:						
UA_WARCRY	Warcry improves attack	TMT_DIP_DEMEANOUR	A measure of how the other negotiator feels about you, and your proposals	SMT_EOT_PRODUCTION	Production:						
UA_CHANT	Chanting inspires nearby troops	TMT_DIP_BALANCE	A measure of how generous or demanding your proposals are	SMT_EOT_POPULATION	Population:						
UA_SCREECH	Screeching dismays enemy	TMT_DIP_RELATIONS	A measure of how the other faction feels about yours	SMT_EOT_OVERAL	Overall:						
UA_FLAMING_AMMO	Can use flaming missiles	TMT_DIP_REPUTATION	A measure of this faction's reliability	SMT_EOT_PERCENTAGE	(%d%%)						
UA_ROTTING_COW_AMMO	Can launch rotting cows	TMT_DIP_POWER	A measure of this faction's military might	SMT_ARMY_RECRUIT	Recruitment						
UA_BARRAGE_FIRE	Can use barrage fire	TMT_DIP_WEALTH	A measure of this faction's current wealth	SMT_CONSTRUCTION	Construction						
UA_CANTABRIAN_CIRCLE	Can form shooting circle	TMT_DIP_PRIORITIES	Things this faction is believed to want from yours	SMT_DIPLOMACY	Diplomacy						
UA_WEDGE	Can form wedge	TMT_DIP_STANCES_NO_ALLIES	This faction has no allies	SMT_TRIBUTE	Tributes						
UA_RALLY	Can rally nearby troops	TMT_DIP_STANCES_NO_ENEMIES	This faction is not at war with any other faction	SMT_OTHER	Other						
UA_EAGLE	Eagle inspires nearby troops	TMT_DIP_STANCES_ALLIES	Factions allied to this faction	SMT_EVENT_LOG	Event Log						
UA_GOOD_IN_DESERTS	Combat bonus in deserts	TMT_DIP_STANCES_ENEMIES	Factions at war with this faction	SMT_OFFICE	Office						
UA_GOOD_IN_WOODS	Combat bonus in woods	TMT_DIP_STANCE_ALLIED	You are allied to this faction	SMT_CHARACTER	Character						
UA_GOOD_IN_WOODS_AND_SNOW	Combat bonus in woods or snow	TMT_DIP_STANCE_NEUTRAL	You are neutral towards this faction	SMT_TIME_REMAINING	Time Remaining						
UA_GOOD_IN_SNOW	Combat bonus in snow	TMT_DIP_STANCE_ENEMY	You are at war with this faction	SMT_TARGETS	Targets						
UA_AREA_ATTACK	Area attack	TMT_DIP_TRADE_RIGHTS_GRANTED	Number of turns trade rights have existed	SMT_TARGET	Target						
UA_BODY_PIERCING_ATTACK	Missiles can impale several men	TMT_DIP_MILITARY_ACCESS_RECEIVED	Number of turns this faction has granted yours military access	SMT_REWARD	Reward						
UA_SPECIAL_ATTACK	Special attack	TMT_DIP_MILITARY_ACCESS_GIVEN	Number of turns you have granted this faction military access	SMT_PENALTY	Penalty						
UA_ARMOUR_PIERCING_ATTACK	Effective against armour	TMT_DIP_TRIBUTE_PAYED	Finances you are sending this faction each turn	SMT_SETTLEMENT	Settlement						
UA_LONG_MISSILE_RANGE	Long range missiles	TMT_DIP_TRIBUTE_RECEIVED	Finances this faction is sending yours each turn	SMT_TRADE_DETAILS	Trade Details						
UA_VERY_LONG_MISSILE_RANGE	Very long range missiles	TMT_DIP_ASSISTANCE_REQUESTED_AGAINST	The faction you have requested military assistance against	SMT_SHOW_TRADE_SUMMARY	Show trade summary scroll for this settlement						
UA_PRECURSOR_WEAPONS	Javelins thrown before charge	TMT_DIP_ASSISTANCE_PROVIDED_AGAINST	The faction you have agreed to offer military assistance against	SMT_HARVEST_POOR	Poor Harvest						
UA_FRIGHTENS_ELEPHANTS	Frighten elephants	TMT_DIP_PROTECTOR	The faction that this faction is offering you military assistance against	SMT_HARVEST_NORMAL	Average Harvest						
UA_FRIGHTENS_ENEMY	Frighten nearby enemy	TMT_NO_TREATIES	You have no diplomatic agreements at all with this faction	SMT_HARVEST_GOOD	Good Harvest						
UA_FRIGHTENS_ENEMY_FOOT	Frighten nearby enemy infantry	TMT_RANSOM_BUTTON	Offer to ransom back the enemy troops	SMT_HARVEST_EXCELLENT	Excellent Harvest						
UA_CAMELS_SCARE_HORSES	Scare horses	TMT_RELEASE_BUTTON	Release the enemy troops	SMT_MINING_INCOME	Mining Income						
UA_HARDY	Good stamina	TMT_EXECUTE_BUTTON	Execute the enemy troops	SMT_FARM_INCOME	Farming Income						
UA_VERY_HARDY	Very good stamina	TMT_ACCEPT_RANSOM_BUTTON	Agree to pay the ransom for your captured troops	SMT_FIND_SELECTED_CHARACTER	Locate selected character on the map						
UA_MAY_CHARGE_WITHOUT_ORDERS	May charge without orders	TMT_CANNOT_ACCEPT_RANSOM	Unfortunately, your coffers lack the funds required to pay the ransom	SMT_FAMILY_TREE_TITLE	Family Tree						
UA_POOR_MORALE	Poor morale	TMT_REJECT_RANSOM_BUTTON	Decline to pay the ransom for your captured troops	SMT_OWNED_BY	Owned by:						
UA_GOOD_MORALE	Good morale	TMT_LCLICK_ZOOM_TO_CHARACTER	Left-click to locate character	SMT_WEAPON_ARMOUR_PIERCING	Uses armour piercing weaponry						
UA_EXCELLENT_MORALE	Excellent morale	TMT_TIME_TO_NEXT_UNIT	Turns to next available unit: %d	SMT_WEAPON_BODY_PIERCING	Uses body piercing weaponry						
UA_ANIMALS_MAY_RUN_AMOK	Animals may run amok	TMT_BUILD_WATCHTOWER	Construct watchtower	SMT_WEAPON_PRECURSOR	Uses a thrown precursor weapon						
UA_VULNERABLE_TO_MISSILE	Vulnerable to missiles	TMT_CANNOT_BUILD_WATCHTOWER	Cannot construct watchtower here	SMT_WEAPON_AREA	Weapon has an area affect						
UA_WELL_ARMOURED	Well armoured	TMT_NOT_ENOUGH_MONEY_FOR_WATCHTOWER	You do not have enough money to build a watchtower	SMT_UNIT_IS_GENERAL	A unit suitable for a general						
UA_VERY_WELL_ARMOURED	Very well armoured	TMT_FIELD_CONSTRUCTION_TEST_NOT_NAMED_CHARACTER_WATCHTOWER	Only generals can commission watchtowers	SMT_UNIT_IS_COMMAND	A command unit						
UA_POWERFULL_CHARGE	Powerful charge	TMT_HOTSEAT_MESSAGE	Click to send a hotseat message	SMT_UNIT_CAN_CONCEAL	Can hide						
UA_BONUS_FIGHTING_CAVALRY	Bonus fighting cavalry	TMT_HS_CLEAR_BUTTON	Clear the current message	SMT_UNIT_IS_HARDY	Is hardy						
UA_LONG_PIKES	Very long spears	TMT_HS_CANCEL_BUTTON	Cancel message to this player	SMT_UNIT_IS_VERY_HARDY	Is very hardy						
UA_INACCURATE_AGAINST_SOLDIERS	Inaccurate against troops	TMT_HS_SEND_BUTTON	Send message to this player	SMT_UNIT_IS_HEAVY	Is a heavy unit						
UA_MOVES_QUICKLY	Fast moving			SMT_CAN_DO_TESTUDO	Can enter a testudo formation						
UA_INEFFECTIVE_AGAINST_WALLS_AND_BUILDINGS	Ineffective against walls and buildings			SMT_CAN_DO_PHALANX	Can enter a spear wall formation						
UA_CAN_SAP	Can sap			SMT_GOOD_ON_SCRUB	Is good in scrub						
ST_RIGHT_ALT	Alt Gr			SMT_GOOD_ON_SAND	Is good in deserts						
UA_BONUS_FIGHTING_ELEPHANTS_AND_CAVALRY	Bonus vs. elephants and chariots			SMT_GOOD_ON_FOREST	Is good in forests						
GERR_REINSTALL_DX	Medieval 2: Total War failed to find DirectX 9, which is required for the game to run.\nPlease reinstall DirectX.			SMT_GOOD_ON_SNOW	Is good in snow						
GERR_ANOTHER_INSTANCE	Another instance of Medieval 2: Total War is already running. This instance of Medieval 2 will now exit.			SMT_BAD_ON_SCRUB	Is bad in scrub						
GERR_GENERIC	Uh oh. This isn't good. No idea why, but exiting now. Sorry pal.			SMT_BAD_ON_SAND	Is bad in deserts						
GERR_UNSUPPORTEDCPU	The processor in this computer is not supported.\nA processor with SSE or better is required.			SMT_BAD_ON_FOREST	Is bad in forests						
ST_CANCEL_CHANGES	Cancel changes			SMT_BAD_ON_SNOW	Is bad in snow						
ST_BDL_NOT_SPECIFIED	Automatic			SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_TITLE	Agent Discovered						
ST_GFX_VEGETATION_DETAIL	Vegetation Detail			SMT_UNCOVERED_HIDDEN_AGENT_IN_SETTLEMENT_DESCRIPTION	We have discovered a treacherous and dangerous spy in this settlement. Is there no honour among our rivals?						
ST_SHIPS_SUNK	Ships Sunk			SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_TITLE	Agent Betrayed						
ST_DEPLOYED	Deployed			SMT_HIDDEN_AGENT_IN_SETTLEMENT_COMPROMISED_DESCRIPTION	Our agent has been betrayed to the authorities in this settlement. We must assume that he is dead. 						
ST_REMAINING	Remaining			SMT_APPOINT_TO_GOVERNOR_TITLE	Governor Appointed						
ST_REPLAY	Replay			SMT_APPOINT_TO_GOVERNOR_DESCRIPTION	This man has been appointed as a new governor.						
ST_CHANGE_TO	Change to:			SMT_SETTLEMENT_BESIEGE_TITLE	Settlement Under Siege						
ST_CANNOT_CHANGE_VIDEO_WHEN_NOT_PAUSED	Cannot change video options during a multiplayer game unless the game is paused			SMT_SETTLEMENT_BESIEGE_DESCRIPTION	This settlement is currently under siege, and the people are suffering as a result. 						
ST_SCREEN_RES_CHANGE_TIME_LEFT	Seconds until display is reset:			SMT_SETTLEMENT_REVOLT_TITLE	Settlement in Revolt						
ST_CONFIRM_SCREEN_RES	Is this display mode acceptable?			SMT_SETTLEMENT_REVOLT_DESCRIPTION	The people of this settlement have revolted, showing the depths of their ingratitude and deceit.						
ST_YOUR_ALLY	Allied Army			SMT_SETTLEMENT_LOST_TITLE	Settlement Lost						
ST_YOUR_ALLIES	Allied Armies			SMT_SETTLEMENT_LOST_DESCRIPTION	We no longer control this settlement, a blow to our wealth and prestige.						
ST_GFX_SFX_DETAIL	Effects Detail			SMT_SETTLEMENT_GAINED_TITLE	Settlement Gained 						
ST_GRASS_DETAIL	Grass Detail			SMT_SETTLEMENT_GAINED_DESCRIPTION	We have gained control of this settlement, a boon to our prestige and wealth!						
ST_TERRAIN_DETAIL	Terrain Detail			SMT_NAVY_BLOCKADED_TITLE	Blockade in Place						
ST_GFX_USE_SHADOWS	Shadows			SMT_NAVY_BLOCKADED_DESCRIPTION	Maritime trade is suffering as a result of this blockade.						
ST_MICROMANAGE_ALL_SETTLEMENTS	Always Allow Building & Recruiting			SMT_BIRTH_TITLE	A Birth in the Family						
ST_CAMPAIGN_AI_FOLLOW	Follow AI Movement			SMT_BIRTH_DESCRIPTION	Our faction has been blessed by the arrival of a new child. He will come of age in the fullness of time and add to our glory.						
ST_CAMPAIGN_AI_SKIP	Skip AI Movement			SMT_ADOPTION_TITLE	Adoption						
ST_SOUND_PROVIDER_ERROR	Unable to activate Sound Provider, this could be due to lack of hardware support			SMT_ADOPTION_DESCRIPTION	This man has been adopted into our family, and will bring honour and glory to our name through his deeds.						
ST_GFX_USE_SHADERS	Unit Shaders			SMT_COMING_OF_AGE_TITLE	Coming of Age						
ST_CONCEDE	Admit Defeat			SMT_COMING_OF_AGE_DESCRIPTION	This man has come of age and is now ready to take up his share of the responsibilities of good government.						
ST_SCHILTROM	Schiltrom			SMT_MARRIAGE_TITLE	Marriage						
ST_SHIELD_WALL	Shield Wall			SMT_MARRIAGE_DESCRIPTION	This man has married, laying the foundations for the future strength of our family.						
ST_SAVE_REPLAY_SHORT	Save Replay			SMT_NATURAL_DEATH_TITLE	Natural Death						
UA_CAN_SWIM	Can swim			SMT_NATURAL_DEATH_DESCRIPTION	This man has died of natural causes and gone to join our illustrious ancestors in the afterlife. 						
UA_CAN_HORDE	Horde unit			SMT_NEW_FACTION_LEADER_TITLE	New Faction Leader						
UA_CAN_GO_BERSERK	Can go berserk			SMT_NEW_FACTION_LEADER_DESCRIPTION	A new faction leader has emerged and is now in control. 						
UA_CAN_SCHILTROM	Can do schiltrom			SMT_NEW_FACTION_HEIR_TITLE	New Faction Heir						
UA_CAN_SHIELD_WALL	Can make shield wall			SMT_NEW_FACTION_HEIR_DESCRIPTION	A new heir to the faction's leadership has emerged, but let us hope that his succession to power is not imminent.						
ST_ADVISOR_BUTTON_ENABLE_VOICE_DISABLE_TEXT_PROLOGUE	Advisor speech and text\nToggle to advisor speech only			SMT_FACTION_DEFEATED_TITLE	Faction Defeated						
ST_RECRUITED_GENERAL	General			SMT_FACTION_DEFEATED_DESCRIPTION	This faction has been defeated, and need trouble us no further. 						
ST_PRINCESS	Princess			SMT_UNKNOWN	Unknown						
ST_MERCHANT	Merchant			SMT_UNKNOWN_UNIT	Unknown unit type						
ST_HERETIC	Heretic			SMT_UNKNOWN_BUILDING	Unknown building type						
ST_WITCH	Witch			SMT_ARMY_BREAKDOWN	Army Breakdown						
ST_INQUISITOR	Inquisitor			SMT_SHOW_ARMY_DETAILS	View army details						
ST_CHARM	Charm			SMT_SHOW_VNV_DETAILS	Show character's personality traits						
ST_FINANCE	Finance			SMT_TRAITS_UKNOWN	Traits Unknown						
ST_PIETY	Piety			SMT_STATUS_UNKNOWN	Status unknown						
ST_MAGIC	Magic			SMT_SPOTTED_BY	Spotted By:						
ST_CHIVALRY	Chivalry			SMT_WATCHTOWER	Watchtower						
ST_DREAD	Dread			SMT_EXCHANGE_COMMANDING_OFFICER	This is the rankings admirals ship. He will not give up command to another admiral.						
ST_AUTHORITY	Authority			SMT_EXCHANGE_NO_MOVEMENT_POINTS	Not enough movement points for transfer.						
ST_SHOW_MOVIE_TYPE	Don't show this movie type again 			SMT_EXCHANGE_NO_NAVY_PRESENT	Ship cannot transfer to a land army.						
UA_STAKES	Can use sharpened stakes			SMT_EXCHANGE_SELECTED	Use merge button or drag and drop to transfer card to other panel.						
ST_TREBUCHET	Trebuchet			SMT_EXCHANGE_UNSELECTED	Select card to transfer to the other panel.						
ST_TREBUCHETS	Trebuchets			SMT_EXCHANGE_NO_SELECTION	Select cards to transfer, use tabs to view different categories.						
ST_BOMBARD	Bombard			SMT_EXCHANGE_MERGE_OK	Use the merge button to transfer the selected cards between the panels.						
ST_BOMBARDS	Bombards			SMT_EXCHANGE_CAPACITY_EXCEEDED	Selected cards cannot be transferred because capacity will be exceeded. Select cards in both panels to perform a swap.						
ST_GRAND_BOMBARD	Grand bombard			SMT_SHOW_MISSION_TARGET	Left-click to show mission target position						
ST_GRAND_BOMBARDS	Grand bombards			SMT_RALLY_POINTS	Rally Points						
ST_HUGE_BOMBARD	Huge bombard			SMT_RALLY_POINT	Rally Point						
ST_HUGE_BOMBARDS	Huge bombards			SMT_CANNOT_MERGE_THIS_UNIT_SELECTION	This selection of units cannot be merged into the opposite window						
ST_CULVERIN	Culverin			SMT_CANNOT_MERGE_THIS_CHARACTER_SELECTION	This selection of characters cannot be merged into the opposite window						
ST_CULVERINS	Culverins			SMT_ZOOM_DOWN_TO_CITY	View settlement on battle map						
ST_BASILISK	Basilisk			SMT_DESTROY_BUILDING	Destroy building and return part of its cost to your treasury.						
ST_BASILISKS	Basilisks			SMT_RETAINERS	Retinue						
ST_CANNON	Cannon			SMT_RETAINERS_UNKNOWN	Retinue Unknown						
ST_CANNONS	Cannons			SMT_SUCCESS_RATE	Success Rate						
ST_MORTAR	Mortar			SMT_SHOW_CHARACTER_TARGETS	Show potential character targets						
ST_MORTARS	Mortars			SMT_SHOW_BUILDING_TARGETS	Show potential building targets						
ST_SERPENTINE	Serpentine			SMT_ACCEPT_MISSION	Accept Mission						
ST_SERPENTINES	Serpentines			SMT_BUILDING	Building						
ST_ROCKET_LAUNCHER	Rocket launcher			SMT_MILITARY_FORCES	Military Forces						
ST_ROCKET_LAUNCHERS	Rocket launchers			SMT_NUM_SOLDIERS	Soldiers						
ST_RIBAULT	Ribault			SMT_ATTACK	Attack						
ST_RIBAULTS	Ribaults			SMT_ATTACK_CHARGE	Charge Bonus						
ST_MONSTER_RIBAULT	Monster ribault			SMT_ARMOUR	Armour						
ST_MONSTER_RIBAULTS	Monster ribaults			SMT_DEFENCE	Defence Skill						
UA_CAN_BRACE	Can brace against attacks			SMT_SHIELD	Shield						
ST_HOLY_CARTS	Wagon			SMT_HP	Hit Points						
ST_HOLY_CART	Wagon			SMT_CREATION_COST	Recruitment Cost						
ST_PRISONERS	Prisoners			SMT_ARMY_STRENGTH_RATIO	Army Strength Ratio						
ST_PRISONER	Prisoner			SMT_NAVY_STRENGTH_RATIO	Navy Strength Ratio						
ST_CAUGHT	Caught			SMT_PROTECTORATES	Vassals						
ST_TAKEN	Taken			SMT_YOU_ARE_PROTECTOR	You rule over and protect this faction						
GERR_NO_COMPATIBLE_AUDIO	Medieval 2: Total War failed to initialise audio system.\nAudio card is not supported or audio drivers are out of date or not installed.\nGame will continue with audio disabled.			SMT_ENABLE_AUTO_TRAIN	Enable Auto Recruit Units						
ST_NONE_AVAILABLE	None Available			SMT_ENABLE_AUTO_CONSTRUCT	Enable Auto Construct Buildings						
ST_UI_OPTIONS	UI Options			SMT_AUTOMATE_ALL	Auto-manage Everything						
ST_SHOW	Show			SMT_AI_SPEND_POLICY	AI Spend Policy						
ST_HIDE	Hide			SMT_SAVE	Save						
ST_SLIDE	Slide			SMT_SPEND	Spend						
ST_BATTLE_HUD	Battle HUD			SMT_CONSTRUCTION_OPTIONS	Construction Options						
ST_MINIMAL_HUD	Minimal HUD			SMT_CONSTRUCTION_QUEUE	Construction Queue						
ST_RADAR_TIME_CONTROL	Radar time control			SMT_LAND_EXPORTS	Land Exports						
ST_BUTTONS_CONTROL	Command buttons			SMT_SEA_EXPORTS	Sea Exports						
ST_UNIT_CARDS_CONTROL	Unit cards			SMT_IMPORTS	Sea Imports						
ST_LOST	Lost			SMT_TRADE_INCOME	Trade Income						
ST_ENEMIES	Enemies			SMT_RECRUITMENT_QUEUE	Units available for hire						
ST_KILLED	Killed			SMT_DEFENSES	Defences						
				SMT_SIEGE_DETAILS	Siege Details						
				SMT_SETTLEMENT_HAS_FOOD_FOR_X_YEARS	This settlement has enough food to last %d turns						
				SMT_FORT_HAS_FOOD_FOR_X_YEARS	This fort has enough food to last %d turns						
				SMT_SETTLEMENT_HAS_FOOD_FOR_1_YEAR	This settlement has enough food to last 1 turn						
				SMT_FORT_HAS_FOOD_FOR_1_YEAR	This fort has enough food to last 1 turn						
				SMT_SETTLEMENT_HAS_NO_FOOD	This settlement has very little food remaining in stores						
				SMT_FORT_HAS__NO_FOOD	This fort has very little food remaining in stores						
				SMT_AUTOMANAGE_ALL_TOOLTIP	Set AI to manage construction and recruitment across all settlements						
				SMT_ALLOW_BUILDING_TOOLTIP	Set AI to manage all construction in this settlement						
				SMT_ALLOW_TROOP_PRODUCTION_TOOLTIP	Set AI to manage all recruitment in this settlement						
				SMT_SPEND_SLIDER_TOOLTIP	Set the amount of money building assistants are allowed to spend						
				SMT_BUILDING_ADVICE	Ask advisor for recommendation on which building to construct next						
				SMT_RECRUITMENT_ADVICE	Ask advisor for recommendation on which units to recruit next						
				SMT_DAMAGE	Damage:						
				SMT_INVALID_RALLY_POINT_POSITION	This is an invalid position for a rally point						
				SMT_CANNOT_PERFORM_MISSIONS_WITH_MULTIPLE_CHARACTERS	Cannot perform missions with multiple characters selected						
				SMT_OPEN_MERCENARY_RECRUITMENT	Open mercenary recruitment scroll for selected army						
				SMT_AVAILABLE_MERCENARIES	Mercenary units available for hire						
				SMT_HIRE_ALL_QUEUED_UNITS	Hire all queued units						
				SMT_NO_ROOM_FOR_MERCENARIES	Cannot hire any more mercenaries as there is no more room in the receiving army						
				SMT_NO_MERCENARIES_AVAILABLE	There are currently no mercenaries available to recruit in this region						
